Plurality given: 2
Sample: 0001-4    Model: 1, 0    Function: 1, 0
Sample: 0066-3    Model: 3, 0    Function: 3, 1 ------ DOES NOT MATCH
Sample: 0066-4    Model: 3, 0    Function: 3, 0
Sample: 0066-5    Model: 3, 0    Function: 3, 0
Sample: 0066-6    Model: 3, 0    Function: 3, 0
Sample: 0067-1    Model: 3, 0    Function: 3, 0
Sample: 0067-2    Model: 3, 0    Function: 3, 0
Sample: 0067-3    Model: 3, 0    Function: 3, 0
Sample: 0067-4    Model: 3, 0    Function: 3, 0
Sample: 0067-5    Model: 4, 0    Function: 4, 0
Sample: 0067-6    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0069-4    Model: 1, 0    Function: 1, 1 ------ DOES NOT MATCH
Sample: 0070-3    Model: 2, 1    Function: 2, 0 ------ DOES NOT MATCH
Sample: 0070-5    Model: 4, 1    Function: 4, 0 ------ DOES NOT MATCH
Sample: 0070-6    Model: 2, 0    Function: 2, 0
Sample: 0073-6    Model: 4, 0    Function: 4, 0
Sample: 0074-1    Model: 1, 0    Function: 1, 0
Sample: 0074-2    Model: 1, 0    Function: 1, 0
Sample: 0074-3    Model: 1, 0    Function: 1, 1 ------ DOES NOT MATCH
Sample: 0074-4    Model: 1, 0    Function: 1, 0
Sample: 0074-5    Model: 1, 0    Function: 1, 0
Sample: 0074-6    Model: 1, 0    Function: 1, 0
Sample: 0076-2    Model: 4, 0    Function: 4, 0
Sample: 0077-1    Model: 1, 0    Function: 1, 0
Sample: 0077-2    Model: 1, 0    Function: 1, 0
Sample: 0077-3    Model: 1, 0    Function: 1, 0
Sample: 0077-4    Model: 1, 0    Function: 1, 0
Sample: 0077-5    Model: 1, 0    Function: 1, 0
Sample: 0077-6    Model: 1, 0    Function: 1, 0
Sample: 0078-5    Model: 1, 0    Function: 1, 0
Sample: 0078-6    Model: 1, 0    Function: 1, 0
Sample: 0080-1    Model: 3, 0    Function: 3, 0
Sample: 0080-2    Model: 3, 0    Function: 3, 0
Sample: 0080-3    Model: 3, 1    Function: 3, 0 ------ DOES NOT MATCH
Sample: 0080-4    Model: 3, 0    Function: 3, 0
Sample: 0080-5    Model: 3, 0    Function: 3, 0
Sample: 0080-6    Model: 3, 0    Function: 3, 0
Sample: 0080-7    Model: 3, 1    Function: 3, 0 ------ DOES NOT MATCH
Sample: 0080-8    Model: 3, 1    Function: 3, 0 ------ DOES NOT MATCH
Sample: 0081-5    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0081-6    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0082-1    Model: 4, 0    Function: 4, 0
Sample: 0082-2    Model: 4, 0    Function: 4, 0
Sample: 0082-3    Model: 2, 0    Function: 2, 0
Sample: 0082-4    Model: 2, 0    Function: 2, 0
Sample: 0082-5    Model: 2, 0    Function: 2, 0
Sample: 0082-6    Model: 2, 0    Function: 2, 0
Sample: 0083-1    Model: 1, 1    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0083-2    Model: 1, 0    Function: 1, 1 ------ DOES NOT MATCH
Sample: 0083-3    Model: 1, 0    Function: 1, 0
Sample: 0084-1    Model: 3, 0    Function: 3, 0
Sample: 0084-2    Model: 3, 0    Function: 3, 0
Sample: 0084-3    Model: 4, 0    Function: 4, 0
Sample: 0084-4    Model: 4, 0    Function: 4, 0
Sample: 0084-5    Model: 3, 0    Function: 3, 0
Sample: 0084-6    Model: 3, 0    Function: 3, 0
Sample: 0085-1    Model: 3, 0    Function: 3, 0
Sample: 0085-2    Model: 3, 0    Function: 3, 0
Sample: 0085-3    Model: 3, 0    Function: 3, 1 ------ DOES NOT MATCH
Sample: 0085-4    Model: 3, 0    Function: 3, 0
Sample: 0085-5    Model: 3, 0    Function: 3, 0
Sample: 0085-6    Model: 3, 0    Function: 3, 0
Sample: 0086-1    Model: 1, 0    Function: 1, 0
Sample: 0086-2    Model: 1, 0    Function: 1, 0
Sample: 0086-3    Model: 1, 0    Function: 1, 0
Sample: 0086-4    Model: 1, 0    Function: 1, 0
Sample: 0086-5    Model: 1, 0    Function: 1, 0
Sample: 0086-6    Model: 1, 0    Function: 1, 0
Sample: 0088-1    Model: 3, 1    Function: 3, 0 ------ DOES NOT MATCH
Sample: 0088-2    Model: 3, 0    Function: 3, 0
Sample: 0088-3    Model: 3, 0    Function: 3, 0
Sample: 0088-4    Model: 3, 0    Function: 3, 0
Sample: 0088-5    Model: 3, 0    Function: 3, 0
Sample: 0088-6    Model: 3, 0    Function: 3, 0
Sample: 0091-1    Model: 1, 0    Function: 1, 0
Sample: 0091-2    Model: 1, 0    Function: 1, 0
Sample: 0091-3    Model: 1, 0    Function: 1, 0
Sample: 0091-4    Model: 1, 0    Function: 1, 0
Sample: 0091-5    Model: 1, 0    Function: 1, 0
Sample: 0091-6    Model: 1, 0    Function: 1, 0
Sample: 0092-1    Model: 4, 0    Function: 4, 0
Sample: 0092-3    Model: 1, 0    Function: 1, 0
Sample: 0092-4    Model: 1, 0    Function: 1, 0
Sample: 0092-5    Model: 1, 0    Function: 1, 0
Sample: 0092-6    Model: 1, 0    Function: 1, 0
Sample: 0093-3    Model: 1, 0    Function: 1, 0
Sample: 0093-4    Model: 1, 1    Function: 1, 1
Sample: 0093-5    Model: 3, 0    Function: 3, 0
Sample: 0093-6    Model: 3, 0    Function: 3, 0
Sample: 0094-1    Model: 4, 0    Function: 4, 0
Sample: 0094-2    Model: 4, 1    Function: 4, 1
Sample: 0094-3    Model: 3, 0    Function: 3, 0
Sample: 0094-4    Model: 3, 0    Function: 3, 0
Sample: 0094-5    Model: 3, 0    Function: 3, 0
Sample: 0094-6    Model: 3, 0    Function: 3, 0
Sample: 0095-1    Model: 1, 0    Function: 1, 0
Sample: 0095-2    Model: 1, 0    Function: 1, 0
Sample: 0095-3    Model: 1, 0    Function: 1, 0
Sample: 0095-4    Model: 1, 0    Function: 1, 0
Sample: 0097-1    Model: 3, 0    Function: 3, 0
Sample: 0097-2    Model: 3, 0    Function: 3, 0
Sample: 0097-3    Model: 3, 0    Function: 3, 0
Sample: 0097-4    Model: 3, 0    Function: 3, 0
Sample: 0097-5    Model: 3, 0    Function: 3, 0
Sample: 0097-6    Model: 3, 0    Function: 3, 0
Sample: 0099-1    Model: 4, 1    Function: 4, 1
Sample: 0099-6    Model: 4, 1    Function: 4, 1
Sample: 0099-7    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Number correct = 184
Total number = 217
Proportion correct: 84.7926267281106%
